id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
5zYEmWpgLoo6PKPjpupw3Y,Je Pyar Na Miliya Tera,Sher Miandad Khan,['qawwali'],0.652,0.839,0,-5.645,1,0.13,0.151,0.0,0.138,0.951,80.487,337846,4,2,Instrumental Calm
1bqzXKBiEytLA5glrFOR41,Ahista Ahista,Nusrat Fateh Ali Khan,['qawwali'],0.503,0.571,1,-13.238,1,0.0523,0.511,1.85e-06,0.175,0.691,89.656,299733,4,1,Dance Party
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,Travis Scott,[],0.834,0.731,10,-5.603,0,0.0566,0.0462,0.0,0.0731,0.681,140.001,176720,4,2,Instrumental Calm
7471s4m02axg6ZtBzBzy22,Wolves - MOTi Remix,Selena Gomez,[],0.647,0.838,11,-3.752,0,0.0566,0.0183,0.0,0.129,0.371,125.927,184762,4,2,Instrumental Calm
2yv0Fs3wFE5Kc00U52hFKb,Ishq Hularey,Zain Zohaib,['qawwali'],0.534,0.648,10,-7.745,0,0.194,0.197,1.03e-06,0.143,0.756,170.062,318720,3,2,Instrumental Calm
07BCtoJYFOi8Nfco4ZrtZb,Just Dance,Lady Gaga,[],0.825,0.717,1,-5.26,0,0.0318,0.0252,7.77e-06,0.189,0.716,118.98,242333,4,2,Instrumental Calm
06esTPbBLd9a7Kwk51y52i,Allah Allah Hoo,Sain Zahoor Ahmed,['sufi'],0.641,0.72,10,-6.604,1,0.0477,0.512,0.0334,0.327,0.533,143.803,862998,4,2,Instrumental Calm
5t8qshocWXdzkaam8oIJTq,"Aarti Keeje Hanuman Lala Ki (From ""Shree Hanuman Chalisa (Hanuman Ashtak)"")",Hariharan,['ghazal'],0.593,0.732,4,-5.288,1,0.0306,0.722,0.0,0.768,0.882,90.977,262410,4,0,Energetic Happy
6IHtZwxyNEs32xUGYtYnwi,Im Back (2023 Remastered),Sajjad Ali,['sufi'],0.716,0.696,10,-9.462,1,0.186,0.134,0.00176,0.152,0.408,137.63,282000,5,2,Instrumental Calm
3G3V7KPsezcUcyUiSNamJy,Best of Khan (Rahat's Tribute),Rahat Fateh Ali Khan,['qawwali'],0.535,0.804,11,-6.151,1,0.083,0.405,0.000307,0.228,0.853,135.482,500413,4,0,Energetic Happy
0FXHCnq1zPjOxXO3C10efY,Chand Hanse Duniya,Noor Jehan,['ghazal'],0.297,0.341,5,-8.515,1,0.0307,0.899,5.32e-05,0.354,0.45,159.44,208533,3,1,Dance Party
3zM2prB16NRn1zggh1KCY0,She’s The One,Juice WRLD,[],0.621,0.804,6,-5.502,0,0.225,0.308,0.0,0.297,0.396,155.984,188837,4,2,Instrumental Calm
17RMnDmv5CEo3s0tmipRyb,Change (feat. James Taylor),Charlie Puth,[],0.502,0.413,4,-7.373,1,0.039,0.872,0.0,0.213,0.474,175.507,217560,4,1,Dance Party
6kO5HCynT8JChURfixL3kY,Sar Taajan Ke Taaj Mohinodin,Rahat Fateh Ali Khan,['qawwali'],0.472,0.949,5,-2.219,0,0.117,0.0645,2.29e-05,0.361,0.897,108.905,897000,4,0,Energetic Happy
3vw8bbxNFXnGyf3OW95WdQ,Buteco 24 Horas - Ao Vivo,Diego & Ray,['pop'],0.728,0.809,11,-4.207,0,0.0805,0.352,0.0,0.775,0.665,117.139,173398,4,2,Instrumental Calm
0kwT98UXKA8SjkVpntdXoe,Hamal Mani Paidakay,Sabir Ali Baloch,['pop'],0.362,0.938,8,-8.196,1,0.0579,0.149,0.000163,0.451,0.897,186.579,379088,3,0,Energetic Happy
7gA8vO4KhJ8iJpns5qTUYS,Dillagi Main Jo Beet Jaye,Sonu Nigam,['bollywood'],0.848,0.95,11,-4.649,0,0.153,0.0438,0.0,0.171,0.865,136.054,253600,4,2,Instrumental Calm
24li0QizomWkRrbR0nUQcl,Mohini Tujhya Swaranchi,Sadhana Sargam,['bollywood'],0.434,0.62,7,-8.99,0,0.0398,0.552,0.000645,0.0887,0.896,83.838,362280,3,0,Energetic Happy
1snWlbcbgQpJfknoI30DWG,Darkside,Alan Walker,[],0.425,0.642,4,-5.06,0,0.0502,0.164,0.0,0.118,0.112,170.008,211867,4,2,Instrumental Calm
0MFdPneORsAeu1ZEYgJUJz,Shakalakka Baby,Vasundhara Das,['bollywood'],0.793,0.725,11,-8.443,0,0.178,0.00475,5.35e-06,0.0707,0.803,157.974,338480,4,2,Instrumental Calm
14SiY53RuPrzd22mfhVZZp,Holding Back the Years,Simply Red,['pop'],0.71,0.514,9,-8.885,0,0.0278,0.58,0.000159,0.0953,0.517,86.02,269840,4,1,Dance Party
4K34wkUKqd7leweceYqPFM,Barbie Dreams,Nicki Minaj,[],0.852,0.787,8,-4.134,0,0.334,0.315,0.0,0.194,0.701,87.976,279867,4,2,Instrumental Calm
4z1bO1KqEA9Bey3euqgJu8,"Antu Antu (From ""Super Star"")",Sonu Nigam,['bollywood'],0.792,0.825,3,-6.601,0,0.0357,0.0207,0.00204,0.299,0.752,95.948,310570,4,2,Instrumental Calm
5jyyPsIGM2yqkZN9R3TmvN,The Ways (with Swae Lee),Khalid,[],0.727,0.72,11,-5.856,0,0.0488,0.0626,1.21e-06,0.176,0.589,140.08,238893,4,2,Instrumental Calm
1RyKg2bZYdTGgYVpj9fwj9,"Naina Mere Rang Bhare - From ""Blackmail""",Lata Mangeshkar,['bollywood'],0.298,0.708,0,-2.669,1,0.0341,0.94,0.000159,0.399,0.441,90.336,282267,4,0,Energetic Happy
3Oy2wBWGD2j2T2htKs5kgm,Mili Tere Pyar Ke,Anuradha Paudwal,['ghazal'],0.303,0.808,7,-6.15,0,0.0672,0.756,0.000606,0.277,0.624,93.62,343867,4,0,Energetic Happy
