id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
6ATnRclamgZgq5lx5m566f,Keep Talking (feat. Julia Michaels),Rita Ora,[],0.76,0.443,1,-7.386,1,0.0652,0.407,0.0,0.0872,0.522,97.025,213840,4,2,Instrumental Calm
7COfe3P7KgfwDwIRB8LIDw,Mi Gente,J Balvin,[],0.548,0.704,11,-4.838,0,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,185040,4,2,Instrumental Calm
6jAS7Lf81JsNflBmxDB6SM,Sonríe,Techy Fatule,['pop'],0.57,0.667,0,-4.995,1,0.0662,0.584,0.0,0.0921,0.629,165.926,178101,4,2,Instrumental Calm
1vBmaijoCBoqmwc3zs5n3s,Dus Bahane,Shaan,['bollywood'],0.833,0.917,7,-5.498,1,0.0597,0.175,1.92e-06,0.109,0.874,110.001,206947,4,2,Instrumental Calm
3bM5itT5Z01DrZjGuFfIKF,Mahawali Sarkar,Ustad Bahauddin Qawal,['qawwali'],0.562,0.48,1,-15.577,0,0.138,0.841,0.358,0.669,0.814,116.954,1649110,4,3,Acoustic Chill
7EzdQnopwog0YWUoRBEowX,Mi Declaración,Maluma,[],0.66,0.915,1,-4.071,0,0.285,0.144,0.0,0.229,0.709,173.969,225507,4,2,Instrumental Calm
1jQi0IyQL0ZsUinjty43nk,The Way - Spanglish Version,Ariana Grande,[],0.712,0.889,5,-2.433,0,0.123,0.405,0.0,0.0864,0.857,82.51,226560,4,2,Instrumental Calm
34NC79bMJeggXSNUyleyOw,Taluni Gele Pudhe,Suresh Wadkar,['bollywood'],0.689,0.357,5,-11.429,1,0.0381,0.0695,2.37e-05,0.146,0.813,131.356,409183,1,2,Instrumental Calm
09IOPhEh1OMe0HD9b36FJk,Over Now,Post Malone,[],0.559,0.761,4,-4.041,0,0.0877,0.131,1.6e-06,0.143,0.24,163.898,246987,4,2,Instrumental Calm
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,Travis Scott,[],0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,4,2,Instrumental Calm
6fDLjSOKFfPq5nZkSU0tJM,Main Pyar Tere Naal Paya,Naseebo Lal,['sufi'],0.702,0.649,7,-7.859,1,0.0428,0.376,0.000609,0.163,0.725,84.004,424284,4,2,Instrumental Calm
3AhPPY71HMsjwGQdyhUdpR,The Mirror,Jang Hye Jin,['pop'],0.603,0.701,0,-3.911,0,0.0313,0.143,0.0,0.105,0.246,99.988,216920,4,2,Instrumental Calm
6ybC8dtStiIZJConqWV64J,Mere Sabir Teri Chokhat Ki,Nusrat Fateh Ali Khan,['qawwali'],0.512,0.867,3,-8.243,1,0.0896,0.51,0.0254,0.693,0.795,151.124,851229,4,0,Energetic Happy
1uRBbjQ3uNFXCncWyNomHf,Only,Imagine Dragons,[],0.691,0.803,9,-5.029,1,0.0355,0.015,0.0,0.0862,0.424,104.997,180733,4,2,Instrumental Calm
4KE2nIIrEY5YbwmuBcDEjW,Guru Rajendra Ko,Anuradha Paudwal,['ghazal'],0.503,0.73,9,-5.541,1,0.0428,0.836,0.000706,0.495,0.808,153.197,356682,4,0,Energetic Happy
6dyPwV0tnY1kdFH7LUDVtK,Pyar Karte Hai Hum,Asha Bhosle,['bollywood'],0.413,0.372,2,-11.562,1,0.0314,0.932,0.000353,0.375,0.542,101.36,303907,4,1,Dance Party
1xVZzT0ehl2TLCKC4tBOAw,Fada Bela,Angélica,['pop'],0.69,0.889,9,-7.389,1,0.0542,0.627,0.0,0.253,0.695,133.895,241200,4,2,Instrumental Calm
1SJEXlkRlzGmK7zQ74eG5g,Sanu Ek Pal Chain,Rahat Fateh Ali Khan,['qawwali'],0.71,0.813,7,-6.099,1,0.0381,0.545,1.68e-05,0.105,0.847,139.998,210346,4,2,Instrumental Calm
0JBYhIlSwrMTu5y8Jxr6wW,Pyar Ke Geet - Title Music,Shubha Mudgal,['sufi'],0.659,0.437,1,-12.689,1,0.0487,0.101,2.42e-06,0.107,0.35,86.995,361467,4,2,Instrumental Calm
5K09638EBQjVMrZYXA89aC,Alone (Calvin Harris Remix) (Feat. Stefflon Don),Halsey,[],0.829,0.819,2,-3.43,0,0.131,0.137,0.00792,0.282,0.35,123.944,199199,4,2,Instrumental Calm
4eT5UiUv3oz4nt71xjZXYs,Talaash,Junoon,['ghazal'],0.621,0.864,2,-9.118,1,0.0411,0.00322,0.000174,0.278,0.629,112.856,311533,4,2,Instrumental Calm
6lJFcrbIfRSsRxlqLABYhh,Dil,Badar Ali Khan,['qawwali'],0.689,0.948,10,-5.611,0,0.0441,0.0368,0.000402,0.0801,0.234,115.965,255547,4,2,Instrumental Calm
5RdfdMVxSdAWX0DR87nDfQ,Ghata Ghonghor,Nayyara Noor,['ghazal'],0.584,0.345,5,-12.001,1,0.0317,0.767,0.0,0.0575,0.731,93.224,199480,4,1,Dance Party
0dmRTSKZJM9zXzoPO78dFJ,Tip Tip Barsa Paani - Jhankar Beats,Alka Yagnik,['bollywood'],0.615,0.862,5,-8.419,0,0.0539,0.483,7.62e-05,0.355,0.844,104.403,297394,4,0,Energetic Happy
7EbRVU97goqzqVsRhXsXZ5,Wrap Me Up in Your Love,John Legend,[],0.632,0.759,2,-5.666,0,0.0422,0.471,2.06e-05,0.12,0.777,142.019,225040,4,2,Instrumental Calm
0nLyj5IgyzXtRogETe01oO,Pattambuchi,KK,['bollywood'],0.805,0.834,5,-3.707,1,0.0511,0.105,9.82e-05,0.0966,0.913,96.032,228653,4,2,Instrumental Calm
1yO5eja8Ke5h5KWLKkos5h,Hasdi De Dand Ginda - Chill Trap,Gurdas Maan,['sufi'],0.619,0.605,9,-12.76,1,0.106,0.00344,0.0,0.226,0.556,79.896,166500,4,2,Instrumental Calm
6H3W5ursDUM360EGLZ5k3Y,Jadon Vekhan Chan Charda,Atta Ullah Khan Esakhelvi,['qawwali'],0.602,0.864,1,-6.539,1,0.05,0.23,2.97e-05,0.306,0.888,120.644,447815,4,0,Energetic Happy
