id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
2ZFN9XIaJmVwrEaM6bk7fk,Saaz Yeh Keena Saaz Yeh Kya Jaane,Farida Khanum,['sufi'],0.251,0.665,8,-9.947,1,0.0526,0.707,0.000741,0.0713,0.46,125.194,529480,3,0,Energetic Happy
7z6zdepQjteu5Lw1TjaMee,Wo Jali Hai Ya Khafi Hai,Muhammad Samie,['qawwali'],0.483,0.603,6,-8.688,1,0.0732,0.0991,0.0,0.131,0.635,123.87,507742,4,2,Instrumental Calm
187MtrYAgpgOoNHKuYRwzm,Main Kamli Maiya Di Kamli,Gurdas Maan,['sufi'],0.61,0.813,8,-6.003,1,0.0445,0.629,4.65e-06,0.113,0.878,124.318,762880,4,0,Energetic Happy
3CVVB4tLAEWPb2w2O8rYHj,Bandiya Jehan Diya,Sain Zahoor Ahmed,['qawwali'],0.569,0.569,11,-7.488,0,0.0302,0.833,5.57e-05,0.382,0.673,99.566,516423,4,1,Dance Party
5KwO40SuQ1xoIWc9WV46je,"Roothe Ho Tum (from ""Aina"")",Nayyara Noor,['sufi'],0.25,0.619,0,-7.075,0,0.0343,0.979,0.0121,0.155,0.394,185.012,210307,3,0,Energetic Happy
0MFdPneORsAeu1ZEYgJUJz,Shakalakka Baby,Vasundhara Das,['bollywood'],0.793,0.725,11,-8.443,0,0.178,0.00475,5.35e-06,0.0707,0.803,185.974,338480,4,2,Instrumental Calm
0XkAuBCDswQUPXi8jrxg34,Phir Se Daras Dikhao,Anuradha Paudwal,['ghazal'],0.417,0.475,0,-9.887,1,0.0346,0.885,0.0,0.0514,0.682,153.009,347360,4,1,Dance Party
6hPlYSx7wsnDE48NypYeuT,"Get Here - Recorded At RAK Studios, London",Sam Smith,[],0.495,0.216,8,-9.294,1,0.0369,0.925,0.0,0.108,0.303,138.678,169227,4,1,Dance Party
4OW3e4X6sfVgwRKw5FG0Vs,Tere Ishq Mein,Rekha Bhardwaj,['bollywood'],0.499,0.474,9,-7.261,1,0.0304,0.245,0.0,0.289,0.286,176.049,341133,4,2,Instrumental Calm
0hBemn8Gjx5ePccYGaTYzw,Fallin',Alicia Keys,[],0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,123.982,210200,3,2,Instrumental Calm
2wi8pAa1ceXtFmdwJ91zVa,Kare Badra,Habib Wali Muhammad,['ghazal'],0.6,0.441,5,-12.791,1,0.056,0.949,0.000169,0.117,0.798,107.569,330413,4,1,Dance Party
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",Ariana Grande,[],0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,187.221,190440,4,2,Instrumental Calm
0RYtqGkXO88wtPMlHbzMeW,Kevat Prasang,Anup Jalota,['ghazal'],0.665,0.538,1,-9.157,1,0.0455,0.271,0.0,0.349,0.691,111.011,408816,4,2,Instrumental Calm
7eCt4ywZK9lgWbphHyGyCi,Qarar,Ali Haider,['sufi'],0.656,0.839,1,-5.984,1,0.0309,0.721,0.0236,0.0836,0.68,118.148,297066,4,2,Instrumental Calm
49QVOdWgGagzLrThkIqtK6,Scared Of Love,Juice WRLD,[],0.619,0.551,11,-4.845,0,0.106,0.0351,0.0,0.166,0.161,157.989,170539,4,2,Instrumental Calm
1en8cRQFezaNadUD13BLMt,Shaam E Firaaq Ab Na Pooch,Farida Khanum,['ghazal'],0.328,0.398,4,-9.337,1,0.0356,0.983,0.446,0.195,0.501,90.87,439925,4,4,Rap / Spoken
0GRDB1z4YZkgunWu6wx43u,Tuu kanssain tanssimaan,Kari Hirvonen,['pop'],0.608,0.898,9,-3.357,0,0.0924,0.448,0.0,0.148,0.909,187.221,180899,4,2,Instrumental Calm
0e3gi36ySaA3LDYajiRXKt,Orkant/Balance Pon It,Major Lazer,[],0.849,0.92,1,-4.191,1,0.143,0.0184,1.68e-05,0.522,0.71,154.038,279445,4,2,Instrumental Calm
3Xb60mFpNodFvek8iuujaN,Jawani Zindagani Hai,Musarrat Nazir,['ghazal'],0.492,0.515,5,-6.601,0,0.029,0.766,0.000254,0.111,0.327,120.508,327973,4,1,Dance Party
3OlsvFnLbu7E4Oi4nFy1cK,Kehde Ghar Jawan,Nusrat Fateh Ali Khan,['qawwali'],0.423,0.696,2,-12.121,0,0.162,0.0845,0.0,0.442,0.764,132.41,845505,4,0,Energetic Happy
0WdCvksPhCngFBJLqElLwJ,Yaadan Teriyan,Nusrat Fateh Ali Khan,['qawwali'],0.568,0.527,2,-12.95,0,0.0401,0.317,9.23e-06,0.0772,0.863,113.121,431415,4,2,Instrumental Calm
1rv170ZsobLD7RP5mLGQW7,Pehli Wari Ehnan Akhian,Ghulam Ali,['ghazal'],0.491,0.327,2,-17.283,0,0.0854,0.953,0.77,0.242,0.807,103.043,473262,4,4,Rap / Spoken
0fOkthps9Udf6can1TnybK,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,['bollywood'],0.579,0.797,9,-5.049,1,0.0698,0.679,5.22e-06,0.36,0.744,136.052,198267,4,0,Energetic Happy
